transaction_id,store_id,sale_date,product_id,product_name,units_sold,sales_amount
TRX0000001,S01,20260110 16:03:13,P001,Cola,5,100.0
TRX0000002,S02,20260110 19:11:04,P006,Beer can,2,110.0
TRX0000003,S07,20260110 17:34:57,P005,Roll-on Deodorant,1,45.0
TRX0000004,S02,20260110 13:15:47,P005,Roll-on Deodorant,1,45.0
TRX0000005,S07,20260110 19:20:06,P001,Cola,6,120.0
TRX0000006,S01,20260110 09:55:59,P020,Dishwashing Liquid,1,30.0
TRX0000007,S06,20260110 19:18:59,P008,Instant Cup Nooddle,4,60.0
TRX0000008,S09,20260110 10:29:53,P017,Fish Sauce,1,30.0
TRX0000009,S10,20260110 08:07:04,P004,Drinking Water 1.5 Litre,3,45.0
TRX0000010,S07,20260110 15:47:11,P015,Bar Soap,1,15.0
TRX0000011,S02,20260110 12:59:18,P019,Cigarette Pack,1,120.0
TRX0000012,S09,20260110 10:01:07,P016,Toothpaste,1,55.0
TRX0000013,S01,20260110 09:49:30,P010,Folding Umbrella,1,100.0
TRX0000014,S09,20260110 19:55:35,P003,Ice cream,3,45.0
TRX0000015,S04,20260110 14:35:10,P008,Instant Cup Nooddle,4,60.0
TRX0000016,S02,20260110 15:43:19,P019,Cigarette Pack,1,120.0
TRX0000017,S08,20260110 12:58:00,P002,Electrolyte Drink,1,25.0
TRX0000018,S10,20260110 10:42:26,P019,Cigarette Pack,1,120.0
TRX0000019,S05,20260110 12:48:24,P017,Fish Sauce,1,30.0
TRX0000020,S08,20260110 21:57:51,P011,Potato Chips,3,90.0
TRX0000021,S02,20260110 15:46:10,P004,Drinking Water 1.5 Litre,3,45.0
TRX0000022,S08,20260110 15:53:14,P008,Instant Cup Nooddle,4,60.0
TRX0000023,S07,20260110 09:17:01,P009,Cold Medicine,1,35.0
TRX0000024,S04,20260110 20:26:39,P005,Roll-on Deodorant,1,45.0
TRX0000025,S01,20260110 15:20:25,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000026,S07,20260110 14:43:59,P015,Bar Soap,1,15.0
TRX0000027,S06,20260110 13:30:05,P001,Cola,4,80.0
TRX0000028,S09,20260110 16:38:01,P008,Instant Cup Nooddle,2,30.0
TRX0000029,S09,20260110 17:04:06,P020,Dishwashing Liquid,1,30.0
TRX0000030,S04,20260110 09:08:32,P017,Fish Sauce,1,30.0
TRX0000031,S01,20260110 21:28:12,P008,Instant Cup Nooddle,4,60.0
TRX0000032,S06,20260110 21:09:29,P008,Instant Cup Nooddle,3,45.0
TRX0000033,S09,20260110 11:02:02,P020,Dishwashing Liquid,1,30.0
TRX0000034,S09,20260110 09:16:43,P003,Ice cream,3,45.0
TRX0000035,S04,20260110 10:43:33,P015,Bar Soap,1,15.0
TRX0000036,S09,20260110 13:55:17,P019,Cigarette Pack,1,120.0
TRX0000037,S05,20260110 18:50:06,P007,Instant Coffee,1,10.0
TRX0000038,S01,20260110 16:21:39,P003,Ice cream,2,30.0
TRX0000039,S02,20260110 13:06:20,P019,Cigarette Pack,1,120.0
TRX0000040,S06,20260110 09:17:24,P001,Cola,5,100.0
TRX0000041,S04,20260110 17:44:02,P001,Cola,5,100.0
TRX0000042,S04,20260110 13:32:54,P011,Potato Chips,3,90.0
TRX0000043,S01,20260110 20:39:24,P011,Potato Chips,4,120.0
TRX0000044,S07,20260110 09:07:28,P012,Mosquito Repellent,1,65.0
TRX0000045,S08,20260110 08:39:08,P009,Cold Medicine,1,35.0
